"country_id","iso3","country"
1,"ARM","Armenia"
2,"AFG","Afghanistan"
3,"ALB","Albania"
4,"DZA","Algeria"
7,"AGO","Angola"
8,"ATG","Antigua & Barbuda"
9,"ARG","Argentina"
10,"AUS","Australia"
11,"AUT","Austria"
12,"BHS","Bahamas"
14,"BRB","Barbados"
15,"BLX","Belgium-Luxembourg"
16,"BGD","Bangladesh"
17,"BMU","Bermuda"
19,"BOL","Bolivia"
20,"BWA","Botswana"
21,"BRA","Brazil"
23,"BLZ","Belize"
25,"SLB","Solomon Islands"
26,"BRN","Brunei"
27,"BGR","Bulgaria"
28,"MMR","Myanmar (Burma)"
29,"BDI","Burundi"
32,"CMR","Cameroon"
33,"CAN","Canada"
35,"CPV","Cape Verde"
37,"CAF","Central African Republic"
38,"LKA","Sri Lanka"
39,"TCD","Chad"
40,"CHL","Chile"
41,"CHN","China"
44,"COL","Colombia"
45,"COM","Comoros"
46,"COG","Congo - Brazzaville"
48,"CRI","Costa Rica"
49,"CUB","Cuba"
50,"CYP","Cyprus"
51,"CZ2","Czechoslovakia"
52,"AZE","Azerbaijan"
53,"BEN","Benin"
54,"DNK","Denmark"
55,"DMA","Dominica"
56,"DOM","Dominican Republic"
57,"BLR","Belarus"
58,"ECU","Ecuador"
59,"EGY","Egypt"
60,"SLV","El Salvador"
62,"ET2","Ethiopia PDR"
63,"EST","Estonia"
66,"FJI","Fiji"
67,"FIN","Finland"
68,"FRA","France"
70,"PYF","French Polynesia"
72,"DJI","Djibouti"
73,"GEO","Georgia"
74,"GAB","Gabon"
75,"GMB","Gambia"
79,"DEU","Germany"
80,"BIH","Bosnia & Herzegovina"
81,"GHA","Ghana"
83,"KIR","Kiribati"
84,"GRC","Greece"
86,"GRD","Grenada"
89,"GTM","Guatemala"
90,"GIN","Guinea"
91,"GUY","Guyana"
93,"HTI","Haiti"
95,"HND","Honduras"
96,"HKG","Hong Kong SAR China"
97,"HUN","Hungary"
98,"HRV","Croatia"
99,"ISL","Iceland"
100,"IND","India"
101,"IDN","Indonesia"
102,"IRN","Iran"
103,"IRQ","Iraq"
104,"IRL","Ireland"
105,"ISR","Israel"
106,"ITA","Italy"
107,"CIV","Côte d’Ivoire"
108,"KAZ","Kazakhstan"
109,"JAM","Jamaica"
110,"JPN","Japan"
112,"JOR","Jordan"
113,"KGZ","Kyrgyzstan"
114,"KEN","Kenya"
115,"KHM","Cambodia"
116,"PRK","North Korea"
117,"KOR","South Korea"
118,"KWT","Kuwait"
119,"LVA","Latvia"
120,"LAO","Laos"
121,"LBN","Lebanon"
122,"LSO","Lesotho"
123,"LBR","Liberia"
124,"LBY","Libya"
126,"LTU","Lithuania"
128,"MAC","Macau SAR China"
129,"MDG","Madagascar"
130,"MWI","Malawi"
131,"MYS","Malaysia"
132,"MDV","Maldives"
133,"MLI","Mali"
134,"MLT","Malta"
136,"MRT","Mauritania"
137,"MUS","Mauritius"
138,"MEX","Mexico"
141,"MNG","Mongolia"
143,"MAR","Morocco"
144,"MOZ","Mozambique"
146,"MDA","Moldova"
147,"NAM","Namibia"
149,"NPL","Nepal"
150,"NLD","Netherlands"
151,"ANT","Netherlands Antilles"
153,"NCL","New Caledonia"
154,"MKD","Macedonia"
155,"VUT","Vanuatu"
156,"NZL","New Zealand"
157,"NIC","Nicaragua"
158,"NER","Niger"
159,"NGA","Nigeria"
162,"NOR","Norway"
165,"PAK","Pakistan"
166,"PAN","Panama"
167,"CZE","Czechia"
168,"PNG","Papua New Guinea"
169,"PRY","Paraguay"
170,"PER","Peru"
171,"PHL","Philippines"
173,"POL","Poland"
174,"PRT","Portugal"
175,"GNB","Guinea-Bissau"
176,"TLS","Timor-Leste"
181,"ZWE","Zimbabwe"
183,"ROU","Romania"
184,"RWA","Rwanda"
185,"RUS","Russia"
186,"SRM","Serbia and Montenegro"
188,"KNA","St. Kitts & Nevis"
189,"LCA","St. Lucia"
191,"VCT","St. Vincent & Grenadines"
193,"STP","São Tomé & Príncipe"
194,"SAU","Saudi Arabia"
195,"SEN","Senegal"
196,"SYC","Seychelles"
197,"SLE","Sierra Leone"
198,"SVN","Slovenia"
199,"SVK","Slovakia"
201,"SOM","Somalia"
202,"ZAF","South Africa"
203,"ESP","Spain"
206,"SDN","Sudan"
207,"SUR","Suriname"
208,"TJK","Tajikistan"
209,"SWZ","Swaziland"
210,"SWE","Sweden"
211,"CHE","Switzerland"
212,"SYR","Syria"
213,"TKM","Turkmenistan"
214,"TWN","Taiwan"
215,"TZA","Tanzania"
216,"THA","Thailand"
217,"TGO","Togo"
220,"TTO","Trinidad & Tobago"
221,"OMN","Oman"
222,"TUN","Tunisia"
223,"TUR","Turkey"
225,"ARE","United Arab Emirates"
226,"UGA","Uganda"
228,"USR","USSR"
229,"GBR","United Kingdom"
230,"UKR","Ukraine"
231,"USA","United States"
233,"BFA","Burkina Faso"
234,"URY","Uruguay"
235,"UZB","Uzbekistan"
236,"VEN","Venezuela"
237,"VNM","Vietnam"
238,"ETH","Ethiopia"
244,"WSM","Samoa"
248,"YUG","Yugoslav SFR"
249,"YEM","Yemen"
250,"COD","Congo - Kinshasa"
251,"ZMB","Zambia"
255,"BEL","Belgium"
256,"LUX","Luxembourg"
272,"SRB","Serbia"
273,"MNE","Montenegro"
299,"PSE","Palestinian Territories"
