"food_id","food_code","food"
1,"MA","Maize and products"
2,"WT","Wheat and products"
3,"OCG","Other Coarse Grains"
4,"RI","Rice and products"
5,"RT","Roots and Tubers"
6,"PS","Pulses"
7,"SU","Sugar"
8,"HFCS","HFCS"
9,"SB","Soybeans"
10,"OOS","Other Oilseeds"
11,"CN","Coconuts"
12,"VL","Vegetable Oils"
13,"FV","Fruits and Vegetables"
14,"BV","Bovine"
15,"SH","Ovine"
16,"PK","Pork"
17,"PT","Poultry"
18,"MK","Milk and Dairy"
19,"BT","Butter"
20,"EG","Eggs"
21,"FH","Fish"
22,"OTH","Other Products"
1701,"TOT","Total Diet"
